index,sample,spec,shock,horizon,beta_pos,se_pos,pvalue_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,pvalue_neg,ci_lower_neg,ci_upper_neg,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse250,full,joint,path,0,-0.03902889900154567,0.03821059714405285,0.3070575899288652,-0.11392166940388926,0.035863871400797914,-0.04534377760420161,0.0324692184295545,0.16255921629227899,-0.10898344572612842,0.018295890517725205,0.11192760929902036,0.9108808050933616,7269,0.013034516221601677,12
ftse250,full,joint,path,1,-0.018851796670883606,0.05019448362642588,0.707232827827734,-0.11723298457867833,0.07952939123691112,-0.028124142585235882,0.045998098098800906,0.5409217748866447,-0.11828041485888566,0.0620321296884139,0.1230844338674173,0.9020402375214144,7268,0.010079739710208813,12
ftse250,full,joint,path,2,-0.03951732695192279,0.054502528988260794,0.46841833688582624,-0.14634228376891395,0.06730762986506836,-0.006513797775486797,0.05997802874295596,0.9135173293357817,-0.12407073411168049,0.11104313856070688,-0.363116410211592,0.7165179264996278,7267,0.005335391743856999,12
ftse250,full,joint,path,3,0.022258678906841658,0.06640774351687241,0.7374878150754984,-0.10790049838622826,0.15241785619991158,-0.058347132706043955,0.06273580144576163,0.3523476681244879,-0.18130930353973673,0.06461503812764884,0.8456844125380453,0.3977288210231782,7266,0.005371503532081046,12
ftse250,full,joint,path,4,0.03653828963923428,0.07674012743551759,0.6339816469171504,-0.11387236013438018,0.18694893941284874,-0.08077171865186247,0.07123540415147521,0.2568489005403214,-0.22039311078875387,0.058849673485028925,1.1637126577646877,0.2445404780573852,7265,0.005017704426296343,12
ftse250,full,joint,path,5,0.053072286171390676,0.0918425212093536,0.563357416093091,-0.12693905539894237,0.23308362774172373,-0.070407345835672,0.09237556784539859,0.4459491215006548,-0.25146345881265325,0.11064876714130924,0.9610482532850765,0.33652790638171914,7264,0.004093281840414242,12
ftse250,full,joint,path,6,0.03423664619499417,0.08816753205806799,0.6977840208819412,-0.1385717166388191,0.20704500902880743,-0.02297644654133913,0.1041615300346533,0.8254157652681224,-0.22713304540925958,0.18118015232658133,0.38550599095252686,0.6998625686995927,7263,0.004121357774392376,12
ftse250,full,joint,path,7,-0.0023371724349168124,0.10220697546519111,0.9817563205587302,-0.2026628443466914,0.19798849947685776,-0.03969912808935063,0.11363441503736986,0.7268203217491338,-0.26242258156259557,0.1830243253838943,0.21541559273881677,0.8294433141161137,7262,0.004287432344662778,12
ftse250,full,joint,path,8,0.046196013042437985,0.10485696897435899,0.6595300001305812,-0.15932364614730565,0.2517156722321816,-0.08580536647888362,0.11474881244878439,0.4546007562567407,-0.310713038878501,0.13910230592073378,0.7512908352268314,0.4524776435659257,7261,0.004374316539499712,12
ftse250,full,joint,path,9,0.0396438311817556,0.1056485916689123,0.7074801988856357,-0.1674274084893125,0.2467150708528237,-0.10911036221248258,0.11841011395862394,0.3568095285076067,-0.3411941855713855,0.12297346114642035,0.8028091942938668,0.4220850271181482,7260,0.004730534921871921,12
ftse250,full,joint,path,10,-0.014443027145183536,0.10993597959363882,0.895477312872423,-0.22991754714871562,0.20103149285834856,-0.13824476795750187,0.1260374088831856,0.2727047625688487,-0.38527808936854563,0.10878855345354188,0.6359147566157796,0.5248319839606999,7259,0.005375718973685162,12
ftse250,full,joint,path,11,-0.040448924526855924,0.11174518408801186,0.7173709699177787,-0.25946948533935915,0.17857163628564732,-0.1445813204510683,0.13730492323703686,0.29234354133310836,-0.4136989699956605,0.12453632909352391,0.4961122008866318,0.6198152515315855,7258,0.006127000303304708,12
ftse250,full,joint,path,12,-0.06888099355193776,0.12108613455779815,0.5694515166875372,-0.3062098172852221,0.16844783018134663,-0.11928003502582973,0.14966777282904734,0.42547113181907537,-0.4126288697707625,0.17406879971910305,0.2280738104936707,0.8195888597568408,7257,0.005412388967484194,12
ftse250,full,joint,path,13,-0.04526229477541996,0.13651973328571576,0.7402336315990007,-0.3128409720154228,0.22231638246458293,-0.08165494826163693,0.15960737555166857,0.6089317971673435,-0.39448540434290735,0.23117550781963347,0.15240413089513713,0.8788681991556472,7256,0.005471234565422423,12
ftse250,full,joint,path,14,-0.016191456312966153,0.14638214426473126,0.9119249274609631,-0.3031004590718394,0.2707175464459071,-0.0945659393228096,0.16072543210754547,0.5562843169330389,-0.4095877862535987,0.2204559076079795,0.31882327243168573,0.7498605296556922,7255,0.005641586229741979,12
ftse250,full,joint,path,15,-0.03593493601468213,0.16693721859954,0.8295644722598299,-0.3631318844697805,0.2912620124404163,-0.06844361758971183,0.15105667016140467,0.6504774964162761,-0.364514691106065,0.2276274559266413,0.12998289759964046,0.896579957626406,7254,0.004696144337035801,12
ftse250,full,joint,path,16,0.003796331290115788,0.14549419771443148,0.9791834279397768,-0.2813722962301699,0.2889649588104015,-0.10495685899725231,0.14847942753608415,0.47964222047951977,-0.39597653696797724,0.1860628189734726,0.46887767763392235,0.6391570728612983,7253,0.003577855462243207,12
ftse250,full,joint,path,17,-0.015486485383800864,0.13655451693681042,0.9097064547206808,-0.2831333385799493,0.2521603678123476,-0.1987193072435801,0.1434174217178951,0.16586880617550803,-0.4798174538106545,0.08237883932349427,0.8097890916858325,0.4180614030762082,7252,0.0032212794926914645,12
ftse250,full,joint,path,18,-0.0800916636270644,0.15681388182357653,0.609530708824995,-0.38744687200127437,0.2272635447471456,-0.17121095817252502,0.1447929794609354,0.2370258253914379,-0.4550051979159584,0.11258328157090836,0.3707188332327978,0.7108469614395082,7251,0.002691404649666884,12
ftse250,full,joint,path,19,-0.04538814306945953,0.15799397013854602,0.7738997023944445,-0.3550563245410097,0.26428003840209063,-0.16261556133350225,0.142459628044984,0.2536680547955604,-0.44183643230167086,0.11660530963466637,0.49138882249504173,0.6231514683135239,7250,0.002471637652996961,12
ftse250,full,joint,path,20,-0.08643859969124293,0.1846825644891628,0.6397568671624757,-0.448416426090002,0.2755392267075162,-0.12657240711274476,0.15151587890377294,0.4035072336536748,-0.4235435297641397,0.17039871553865021,0.14803564442367295,0.8823146379580394,7249,0.002685918751176186,12
ftse250,full,joint,qe,0,-0.003908695091560071,0.04607608894053009,0.9323954996231325,-0.09421782941499905,0.08640043923187891,-0.009905318355706318,0.038442533894206835,0.7966650011697094,-0.08525268478835171,0.06544204807693907,0.08899396835375972,0.929086703657377,4300,0.0154179090302079,12
ftse250,full,joint,qe,1,-0.014291313352809854,0.06936756806820805,0.8367729579291134,-0.15025174676649766,0.12166912006087795,-0.06687437417017315,0.0756176304426571,0.37649358372259767,-0.21508492983778105,0.08133618149743475,0.43396613943280943,0.664313029805125,4299,0.014089958919656143,12
